名前,記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,安定段位,点数期待,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
rank_1_std,616.3662516290623,null,null,0.01987927453975312,0.020435734762062174,0.01922222210494582,0.04817351557274543,0.01253202514149712,0.09497360014554158,0.08411794528754231,0.0323094082829903,0.19764459637951523,488.0455434677465,249.82494294683872,0.08550153158389365,0.02325667293028406,null,null,0.029042327288109637,0.01423138851498963,0.01193120431035649,346.8981651312427,409.0662361437033,503.8467235345013,0.03873129471629904,0.03873131437526928,0.01926629929312261,0.3431888679509184,0.01495019646738722,0.025170137801472595,0.006610026515098442,0.05688615046352492,0.05456098600538581,null,null,1.1249001479965544,0.026299456444942124,0.011409103523041473,392.6888013263694,0.036009181097883196,0.08862922556203712,0.02083295572301801,0.02956743408066694,0.01689057981806366,111.47277678573289,144.40185033026464,136.39435431356992,126.39629973401303,6237.328768268059,0.07382071460032714,0.07442951717856423,0.04817351557274543
rank_2_std,933.7247687711277,null,null,0.015209724357977884,0.018969497233306147,0.01689364469701119,0.04332851598044615,0.012024356751178116,0.08114533165351406,0.05984346575678122,0.026107816328942386,0.17638000612724927,362.8428183790095,217.55103975079314,0.0760965127435054,0.020059513200987686,null,null,0.02310826012515562,0.011943441794169833,0.009606946043863113,279.9617623906831,345.6352105625874,376.8526859157434,0.033016577527113705,0.03301662317209607,0.01546767690254152,0.28903304954099424,0.01355260843769458,0.020350291245814067,0.005385124347357316,0.04425280755149568,0.0452674438303528,null,null,1.1337391785220616,0.02151086952019423,0.008564339603875173,276.10747052770034,0.0321188935897334,0.06312001248147019,0.019202849351944,0.0251537890713644,0.01767526075478264,85.28689362195168,128.40062036223011,113.74059126902414,101.38295811645504,9751.078994956675,0.05665807488891462,0.05380918457995426,0.04332851598044615
rank_3_std,769.3547393616252,null,null,0.018883997012199224,0.021098448289744907,0.027322858791251885,0.049490118056641816,0.018045475874654462,0.09273521039273461,0.07762522460745479,0.030858670874884753,0.19224407718279343,453.99221899992784,267.1356718858403,0.08250707366069976,0.02273728564369792,null,null,0.02885710149760985,0.01380057280919173,0.011405328404311695,331.2843883557962,389.33243534160533,466.6150648764193,0.037384623721139494,0.037384646051483526,0.019073994918793274,0.33012502038015396,0.020981671896410734,0.024756634912505626,0.006248613774823993,0.053439482969291366,0.054893545990599125,null,null,1.146558805467293,0.024942215535172438,0.010588583623159236,366.0689255100814,0.03558215506990006,0.08152279606008316,0.021208639421932584,0.0281969295748497,0.02224976667979226,110.1586053411157,150.17173397860418,130.6445508815373,118.75918359080798,7953.812850366666,0.06984808211512435,0.0683863968020076,0.049490118056641816
rank_4_std,966.6684491795248,null,null,0.01242498122232421,0.013460166178738062,0.018944669586131332,0.03491067517952772,0.010416102413956317,0.05778585807606724,0.0471426904139657,0.020189918019692138,0.16224471447373687,309.1364259247312,199.8383666626583,0.06516408696986103,0.017456523789957778,null,null,0.02129530031713826,0.01329283147345913,0.011478713697998081,268.48324669646803,310.95741225989013,420.21354544994443,0.028859518105010827,0.028859518105010824,0.017407548709316798,0.24834471622290874,0.014359653430815897,0.023033510988534393,0.005395709594853751,0.03612895075898302,0.039874425712253546,null,null,1.2552411817759817,0.024222441818634893,0.009282313010820685,298.05600313651377,0.03048687945975572,0.04888834553563871,0.015725428291744968,0.020824591396979276,0.016120218163591202,75.13145545475213,84.16329368540156,88.57905121700018,85.7581866021312,10241.452176157462,0.046704873889991526,0.045136877532630466,0.03491067517952772
rank_5_std,739.0643840500564,null,null,0.01875501519438481,0.021161016097307136,0.03573933404990825,0.04941607344045465,0.020434515493145615,0.08942770360740927,0.07639832352322783,0.030320496901277177,0.20116663984980968,459.79736521061653,306.18985518283245,0.08075147810821333,0.023584058058745697,null,null,0.031225570125439774,0.01503206837939602,0.012676142975498954,346.63106939292135,385.89447196603516,494.73387368206073,0.036771424397842395,0.03677144352113301,0.01992714492864947,0.3358840038528142,0.023875226118485884,0.02637639576715254,0.006330049825063093,0.05228231822596209,0.055920809973553996,null,null,1.1702613016371743,0.026038006826349526,0.011036140437043554,396.7549396406663,0.037415494920177685,0.0803095481252091,0.02178691767858261,0.027732462147625873,0.027408926161227393,114.64072441418617,154.71537945287614,129.66600347791984,117.19370597945962,7678.223691070149,0.0705503666766441,0.06802172631756935,0.04941607344045465
rank_6_std,949.9202820863322,null,null,0.01414012869619201,0.017276717101175943,0.02190583662226405,0.04039226453350164,0.01234982576409449,0.07243004081035684,0.055148316376905454,0.023881387023755613,0.178718390480811,345.9855482548738,229.94489609915968,0.0718500459125747,0.019650035699060837,null,null,0.023475813858616586,0.012937497891962807,0.010845167700914655,282.7692888072183,331.7860863080207,404.84857589589683,0.031355365445500195,0.03135539288601214,0.01634055198206535,0.27885542632719784,0.014818801036464494,0.02172138545482521,0.005389549208641332,0.041475278883808135,0.0435190838322779,null,null,1.1866682977307794,0.02273034271936236,0.008933615334373968,296.7921452491494,0.03243138963964764,0.05776168582186047,0.018327626485262292,0.023866551642391202,0.01954553608449825,82.88799318672584,116.88486639610495,105.30274386865452,95.43731427892601,9977.336535863353,0.053379116183214274,0.05046488941247787,0.04039226453350164
rank_7_std,813.8085845971981,null,null,0.018057870266733226,0.020964136404977806,0.03365329554766327,0.048956807503196795,0.020217756896345546,0.08822828312936995,0.07281927455719397,0.02943882706095739,0.19486814480434203,436.7387383064193,291.4832348631371,0.07953918927131351,0.022790901379606793,null,null,0.029695887463565145,0.014318689661544263,0.011954787737254806,331.0247273430343,375.6414942384157,466.08818227073687,0.03603644558877186,0.03603646704854889,0.019242415123602623,0.3247150793647285,0.023532440212257505,0.025274612904363933,0.0061001141169109135,0.05060346835312391,0.05450153709758899,null,null,1.1707789473347954,0.024944314818482808,0.010437737658181434,369.814670668644,0.03623332747590691,0.0763940596356627,0.021377105549159017,0.027116810492303637,0.026300130605551073,109.84942198344248,151.39246329702559,125.91936160246715,113.2534791790087,8480.90807964983,0.06749300165624551,0.06459815352489466,0.048956807503196795
rating_1_std,658.202797286646,null,null,0.019926991987670874,0.019965840365374823,0.025228634197108135,0.05029282788138857,0.014420487840515467,0.09596948302993918,0.0889412280827822,0.03407779709221707,0.20697791533534649,513.5900153768606,252.89603593021405,0.07509586126145222,0.023543940537431002,null,null,0.02994262446256848,0.014507634785781548,0.011897521685439706,348.3616837074448,433.4271984912234,500.80784334112536,0.03975023225221831,0.03975025192208087,0.01997826472069973,0.3585589083525569,0.0188957940640093,0.025904572089589968,0.00694362646852224,0.05868596540456864,0.055081130099824786,null,null,1.1404415314119711,0.027021902637856813,0.01126525332967534,407.94289990588493,0.036224011512409345,0.09372728536065739,0.020625380945285654,0.028925688964494028,0.018420776341815284,111.99732344846777,142.72475229904498,123.64187609808822,114.42299517838438,6677.202732106341,0.07789343703507051,0.07913724232467712,0.05029282788138857
rating_2_std,650.8252471400067,null,null,0.018787380048135526,0.017419879856513106,0.030257931906911395,0.04763772859994843,0.018341844621663553,0.08574650240769717,0.06852799416801132,0.028080350276074296,0.1772300225434449,408.9887524589999,253.24158432465384,0.07233432790490377,0.01803527786393318,null,null,0.030495805391828244,0.01452635647547149,0.012132045980564169,333.40412091395206,364.24668485566883,465.78578576476394,0.03530860721052451,0.03530862444288918,0.019880924121763233,0.3023670530144129,0.023548540242944484,0.025004109085577274,0.005943689092268268,0.04913372217204023,0.04992272727085941,null,null,1.119312540841449,0.024825772689592747,0.010522469589354065,350.22233381010284,0.03423144563643573,0.07219210256695589,0.018268789815650104,0.026985899056623738,0.02321444885047008,114.34870339649548,121.4248031752583,100.89154720915036,103.29796906025739,6727.249682028026,0.06418221646756728,0.060690559534886515,0.04763772859994843
rating_3_std,656.8108539014023,null,null,0.0193296467611964,0.02043739069845261,0.02915169599780604,0.05013516341728387,0.018029722013873713,0.09305219335348025,0.079213884276846,0.03115657171345502,0.19448436068039887,462.683422051617,270.29786115622676,0.07984349492615977,0.022505245059777322,null,null,0.030246440822968686,0.014517905352312552,0.012026441955869507,341.2031060192045,397.8781801611186,484.20067854831274,0.03788483903397616,0.03788485819218088,0.020022969299272456,0.33295122201850785,0.022119417290158472,0.025576872886236796,0.006437507324296404,0.05420863440334249,0.05481419823158827,null,null,1.1337684485358357,0.025884659115165166,0.010873763585613722,379.9163520291598,0.0359437940873097,0.0831932457675866,0.020802237325939936,0.028502830153729078,0.022302671949207077,113.40779225743034,145.90204601683345,125.68614290427975,116.59370300117233,6735.035344643601,0.07127356522870378,0.06995258180973528,0.05013516341728387
