記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,安定段位,点数期待,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
685,傑3,1489/2000,0.1957999999999999,0.1204,0.3743999999999999,0.1117,0.156,0.3253,0.2879,0.1785,12.118,6535.0,5354.0,2.571,0.0686,豪-0.12,6.8,0.4793,0.1382,0.1076999999999999,2774.0,8117.0,7544.0,0.8406999999999999,0.1593,0.2022,9.467,0.1593,0.1743,0.0156,0.7265,0.4851,豪1,2631/2800,5.0,0.3322,0.0962,10364.0,0.2048999999999999,0.316,0.1321,0.3069,0.1505,1280.0,645.0,635.0,-96.0,7175.0,0.4369512257405518,0.45125898876404513,0.1117
185,傑3,1106/2000,0.2282999999999999,0.1815,0.3806,0.0833,0.1224,0.6008,0.3599,0.2113,12.45,6269.0,5955.0,2.659,0.1351,豪-2.95,-4.3,0.4331,0.1509,0.129,2189.0,7704.0,7137.0,0.7615999999999999,0.2384,0.18,9.604,0.1776,0.2022,0.0097,0.6472,0.3382,豪1,1601/2800,4.0,0.2978,0.0886,10555.0,0.1755999999999999,0.4050999999999999,0.2043,0.3271,0.1128999999999999,1431.0,1081.0,350.0,-264.0,1945.0,0.40084989049496295,0.5156517301795885,0.0833
154,豪2,1684/3200,0.2123,0.129,0.3227,0.1017,0.1444,0.4316,0.3568,0.1809,12.508,7028.0,5840.0,2.403,0.0974,豪2.68,2.7 (565),0.5188,0.1159999999999999,0.0785,3650.0,8976.0,8174.0,0.7986,0.2014,0.157,9.466,0.1604,0.1842,0.0068,0.7099,0.4437,豪2,2970/3200,5.0,0.3289,0.098,10559.0,0.1626999999999999,0.4306,0.1557,0.2716,0.1522,1492.0,753.0,739.0,80.0,1620.0,0.4420674517192652,0.4564619877531795,0.1017
293,傑3,1277/2000,0.2096,0.1651,0.3962,0.0351,0.1232,0.5652,0.3737,0.2391,12.591,7060.0,5576.0,2.594,0.099,豪-1.34,2.8,0.4636,0.1527,0.1162,2891.0,8688.0,6837.0,0.7325,0.2675,0.1863,10.157,0.1653,0.1964,0.0056,0.7548999999999999,0.4384,豪1,1856/2800,5.0,0.3565,0.1032,10268.0,0.2211,0.4015999999999999,0.1773999999999999,0.2446,0.1272,1480.0,921.0,559.0,-88.0,2986.0,0.5288490458015268,0.43610219465648853,0.0351
1029,聖1,2159/4000,0.2353,0.1401,0.3525999999999999,0.0762999999999999,0.1329,0.5052,0.372,0.212,12.239,6533.0,5577.0,2.417,0.0729,聖1.01,0.1,0.4924,0.1284,0.0978999999999999,2950.0,8039.0,6879.0,0.7955,0.2045,0.2211,9.449,0.1442,0.205,0.0092,0.6911,0.4653,聖1,2625/4000,6.0,0.3389999999999999,0.1017,10534.0,0.1943,0.3906,0.1471,0.3037,0.1297,1537.0,781.0,756.0,136.0,10799.0,0.44364130896727577,0.48013769655758615,0.0762999999999999
666,豪1,1143/2800,0.2345,0.1431,0.3701,0.1506,0.1253,0.5251,0.3226,0.1717,12.363,5869.0,5782.0,2.521,0.0901,豪0.24,-3.0 (378),0.4804,0.144,0.1074,2523.0,7437.0,6767.0,0.8177,0.1823,0.2014999999999999,9.366,0.1557,0.156,0.015,0.816,0.5079,豪2,2156/3200,6.0,0.2998,0.0881,10507.0,0.1728,0.3087,0.1369999999999999,0.3617,0.1036999999999999,1376.0,828.0,549.0,-58.0,6993.0,0.3517470362473347,0.4975881449893391,0.1506
1363,豪2,786/3200,0.2064,0.1271,0.3622999999999999,0.1575,0.1392,0.4139,0.2981,0.1723,12.277,6576.0,5507.0,2.511,0.0828999999999999,豪1.14,-3.1 (256),0.4921999999999999,0.1448,0.1058,2870.0,8128.0,7242.0,0.7948999999999999,0.2051,0.1792,9.768,0.1477,0.2158,0.0176,0.7587,0.4979,豪3,3399/3600,5.0,0.2933,0.0964,10474.0,0.1963,0.3187,0.1358,0.2987,0.1339,1357.0,700.0,657.0,-20.0,14150.0,0.41088207364341084,0.4314073158914729,0.1575
159,豪2,414/3200,0.2161,0.1066,0.3233,0.1589,0.148,0.38,0.2676,0.1877,12.083,6308.0,6227.0,2.447,0.0881,豪2.23,0.9 (3000),0.5331,0.1356,0.1073,3515.0,8534.0,7114.0,0.8517,0.1483,0.2082,9.629,0.1451,0.1834,0.0095,0.7003,0.4953,豪2,2515/3200,5.0,0.2899,0.0883,10144.0,0.2389,0.3167,0.1261,0.3053,0.1195,1363.0,664.0,699.0,14.0,1689.0,0.4630396575659418,0.3780577510411847,0.1589
324,豪2,798/3200,0.2002,0.124,0.3765,0.1726,0.1383,0.4181,0.3018,0.1508,12.31,6551.0,5545.0,2.494,0.0926,豪2.55,1.7 (1377),0.498,0.1186,0.083,2999.0,8038.0,7322.0,0.8201999999999999,0.1798,0.1996,9.704,0.1324,0.1905,0.002,0.8419,0.5870000000000001,豪2,2230/3200,6.0,0.3452,0.079,10745.0,0.1442,0.2813,0.1155,0.3001,0.1481,1312.0,687.0,624.0,-51.0,3356.0,0.3751168831168831,0.4523985014985016,0.1726
228,豪3,543/3600,0.2282999999999999,0.1238,0.3904999999999999,0.0813,0.1436,0.4916,0.3344,0.2045,12.328,6558.0,5762.0,2.368,0.0658,聖2.10,7.1 (432),0.5108,0.1558,0.1261999999999999,2983.0,8043.0,7118.0,0.8225,0.1775,0.1755,9.339,0.1736,0.1892,0.0178,0.7731999999999999,0.5306000000000001,豪3,1907/3600,5.0,0.3204999999999999,0.1071,10695.0,0.2573,0.3029,0.1122,0.3148,0.152,1497.0,714.0,784.0,172.0,2479.0,0.4575497152869034,0.46109995619798533,0.0813
279,豪1,1000/2800,0.2006,0.1592,0.3865999999999999,0.0722,0.1278,0.4501,0.3005,0.2071,12.221,6848.0,5549.0,2.638,0.0968,豪-2.19,-13.4 (68),0.4825,0.1797,0.1348,2649.0,8332.0,7191.0,0.8153,0.1846999999999999,0.2047,9.613,0.1348,0.2379,0.005,0.7071999999999999,0.4809,豪1,1986/2800,6.0,0.3103,0.0931,10811.0,0.2337999999999999,0.2662,0.1411,0.2867,0.1124,1373.0,883.0,490.0,-164.0,2902.0,0.49813434695912256,0.42947831505483547,0.0722
848,豪2,1435/3200,0.2143,0.1313,0.3707999999999999,0.1202999999999999,0.1379,0.4434,0.278,0.1945,12.348,6868.0,5505.0,2.476,0.0672,豪2.07,0.3 (6342),0.5119,0.1232,0.0941,3422.0,8556.0,7045.0,0.7768999999999999,0.2231,0.1929,9.702,0.1447,0.1986,0.0098999999999999,0.7461,0.4788,豪3,2117/3600,6.0,0.3144,0.1042,10436.0,0.1823999999999999,0.3081,0.1455,0.3198999999999999,0.1386,1472.0,723.0,749.0,66.0,8848.0,0.46460359309379384,0.41498926738217445,0.1202999999999999
