記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,安定段位,点数期待,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
2178,魂5,17.7/20.0,0.2181,0.11599999999999999,0.3847,0.11380000000000001,0.1479,0.43189999999999995,0.3321,0.19190000000000002,12.086,6329,5481,2.437,0.0702,魂+2.19,0.022 (105),0.4913,0.15109999999999998,0.1155,2881,8150,6994,0.8170000000000001,0.183,0.204,9.128,0.1496,0.19920000000000002,0.0062,0.7461,0.5379,魂5,18.6/20.0,6,0.3249,0.0987,10622,0.2501,0.34119999999999995,0.1192,0.2981,0.1654,1380,636,745,36,23377.0,0.4322809261806511,0.4539156808803301,0.11380000000000001
983,魂2,6.6/20.0,0.217,0.1273,0.39299999999999996,0.1472,0.1399,0.4781,0.35,0.1772,12.106,6378,5492,2.462,0.0722,魂+1.34,0.013 (998),0.4736,0.15710000000000002,0.11699999999999999,2634,7915,6727,0.8362999999999999,0.1637,0.19949999999999998,9.384,0.1593,0.2065,0.009899999999999999,0.7231000000000001,0.5055,魂2,13.4/20.0,6,0.2958,0.0898,10186,0.2187,0.3326,0.121,0.2889,0.16269999999999998,1384,699,685,32,10273.0,0.3867369585253456,0.46596774193548385,0.1472
771,聖1,1407/4000,0.2146,0.1373,0.39799999999999996,0.1162,0.1465,0.44189999999999996,0.3062,0.2007,12.317,6593,5563,2.510,0.0791,豪2.17,-6.6 (212),0.4939,0.1364,0.1085,2950,7968,6700,0.8042,0.19579999999999997,0.1909,9.535,0.1533,0.1975,0.0085,0.7254999999999999,0.4947,聖1,3785/4000,7,0.30920000000000003,0.0999,10241,0.1993,0.3118,0.1398,0.2956,0.1577,1415,764,651,-10,8220.0,0.4619092730661696,0.421774091332712,0.1162
218,聖1,1509/4000,0.1997,0.1255,0.3799,0.1725,0.14429999999999998,0.43810000000000004,0.2677,0.1648,12.055,6316,5430,2.546,0.07339999999999999,豪0.63,-13.2 (114),0.5079,0.1481,0.1164,2834,7611,6823,0.8942,0.1058,0.2778,8.816,0.15869999999999998,0.1458,0.0026,0.7406999999999999,0.4524,聖1,3251/4000,5,0.2969,0.09480000000000001,10441,0.19440000000000002,0.2917,0.1368,0.3046,0.171,1261,682,579,-107,2294.0,0.41913830746119185,0.40831957936905355,0.1725
396,豪3,1983/3600,0.2121,0.1518,0.3961,0.1336,0.1358,0.5134000000000001,0.3433,0.1857,12.188,6312,5229,2.604,0.0833,豪-0.22,-16.2 (42),0.4824,0.146,0.1056,2794,7805,6066,0.8344,0.1656,0.18899999999999997,9.361,0.1499,0.1946,0.011699999999999999,0.7262000000000001,0.46020000000000005,聖2,4416/6000,5,0.32159999999999994,0.0958,10073,0.17859999999999998,0.3668,0.16219999999999998,0.2743,0.15869999999999998,1339,794,545,-81,4130.0,0.4223558698727015,0.44397543611504,0.1336
194,聖1,1155/4000,0.22210000000000002,0.131,0.3814,0.102,0.1398,0.5211,0.3397,0.17329999999999998,11.904,6182,5103,2.505,0.0825,豪2.73,-4.5 (258),0.47159999999999996,0.1307,0.1051,2754,7880,6635,0.8381000000000001,0.16190000000000002,0.2216,9.134,0.1534,0.2048,0.0028000000000000004,0.7756000000000001,0.4972,聖1,2957/4000,3,0.3735,0.12210000000000001,9986,0.1729,0.35340000000000005,0.1362,0.3464,0.1275,1373,668,704,79,2031.0,0.36797964880684364,0.5298157586672669,0.102
651,聖1,2255/4000,0.19440000000000002,0.1297,0.39020000000000005,0.18170000000000003,0.1489,0.3839,0.25730000000000003,0.18059999999999998,12.323,7050,5389,2.473,0.0768,豪3.32,-2.3 (977),0.496,0.1378,0.105,3100,8314,6934,0.7957,0.2043,0.18989999999999999,9.619,0.15460000000000002,0.19390000000000002,0.0128,0.7652,0.4864,聖2,3000/6000,7,0.3053,0.0843,10317,0.192,0.3025,0.1524,0.27,0.15130000000000002,1370,699,671,-30,6910.0,0.46079012345679005,0.35736111111111113,0.18170000000000003
187,魂1,2.4/20.0,0.222,0.1616,0.38659999999999994,0.0788,0.1155,0.5046,0.3529,0.22469999999999998,12.435,6451,5888,2.658,0.12300000000000001,豪-2.60,-0.052 (46),0.48350000000000004,0.1675,0.1321,2517,7946,7145,0.7807,0.2193,0.191,9.668,0.125,0.161,0.014199999999999999,0.7264,0.4788,魂1,10.7/20.0,6,0.29760000000000003,0.11470000000000001,10096,0.2328,0.3934,0.1802,0.2718,0.1306,1432,952,481,-175,1887.0,0.48938040540540545,0.432064054054054,0.0788
2119,聖3,4123/9000,0.23129999999999998,0.13269999999999998,0.3885,0.161,0.1344,0.4587,0.31420000000000003,0.1783,12.129,6293,5412,2.449,0.0779,豪3.82,-7.7 (657),0.4976,0.139,0.1047,3110,8349,6949,0.7972,0.2028,0.1866,9.516,0.1478,0.2007,0.0091,0.7889,0.5364,聖3,6455/9000,6,0.31170000000000003,0.09949999999999999,10545,0.1867,0.3564,0.1505,0.33509999999999995,0.12689999999999999,1455,718,737,77,22239.0,0.38358011240812795,0.4552028534370947,0.161
317,聖1,1182/4000,0.198,0.11699999999999999,0.4361,0.1293,0.1465,0.4289,0.2837,0.195,12.544,7051,5370,2.479,0.050499999999999996,聖1.08,0.3 (5872),0.4611,0.1267,0.0947,3018,8484,6343,0.8153,0.18469999999999998,0.2107,9.653,0.1634,0.1887,0.015300000000000001,0.7542,0.5297999999999999,聖1,3439/4000,4,0.31129999999999997,0.08650000000000001,10012,0.2112,0.285,0.1175,0.2907,0.1616,1396,628,768,35,3359.0,0.4541136363636364,0.4165231818181818,0.1293
