記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
449,傑3,577/2000,0.20440000000000003,0.1475,0.3169,0.1429,0.1124,0.5078,0.3387,0.16399999999999998,12.628,6706,6069,2.595,0.098,0.4685,0.1419,0.095,2812,8884,7921,0.7028,0.29719999999999996,0.20620000000000002,9.976,0.10310000000000001,0.2229,0.0161,0.7403,0.461,豪1,1607/2800,6,0.3514,0.1017,10740,0.1577,0.3259,0.1419,0.2903,0.1329,1371,895,475,-134,4555,0.37590019569471617,0.4810401663405087,0.1429
192,傑2,526/1400,0.24489999999999998,0.17629999999999998,0.3248,0.0255,0.0894,0.7034999999999999,0.5507,0.18100000000000002,12.444,5963,6217,2.568,0.125,0.4914,0.1494,0.1149,2863,8202,6850,0.7989,0.2011,0.2241,9.348,0.1351,0.21050000000000002,0.0029,0.6322,0.35340000000000005,傑2,1020/1400,4,0.32159999999999994,0.1016,11432,0.1534,0.5398,0.1728,0.272,0.08779999999999999,1461,1096,365,-158,1923,0.3631825234789711,0.6116390363413639,0.0255
149,傑2,936/1400,0.1985,0.1452,0.2857,0.0986,0.12689999999999999,0.4043,0.2289,0.239,12.518,7509,5897,2.483,0.11410000000000001,0.4718,0.1412,0.11019999999999999,2589,8073,7514,0.774,0.226,0.2232,9.484,0.12710000000000002,0.2096,0.036699999999999997,0.7034,0.4407,傑2,936/1400,4,0.3533,0.0764,10579,0.23260000000000003,0.23260000000000003,0.1475,0.2891,0.1091,1491,856,635,-13,1481,0.5680614609571788,0.33337526448362725,0.0986
159,傑2,1172/1400,0.1928,0.1592,0.36450000000000005,0.0623,0.1033,0.48840000000000006,0.2661,0.2186,12.488,8018,6284,2.491,0.10060000000000001,0.49450000000000005,0.15380000000000002,0.1016,3072,9073,7993,0.7582,0.2418,0.1593,10.169,0.0907,0.1833,0.024700000000000003,0.7665000000000001,0.4863,傑3,1411/2000,4,0.4,0.0978,11392,0.2113,0.26789999999999997,0.1603,0.2731,0.11289999999999999,1546,1000,546,-83,1665,0.5606727178423236,0.37692899377593364,0.0623
663,豪2,1372/3200,0.21230000000000002,0.1319,0.3105,0.12210000000000001,0.1114,0.3883,0.2713,0.18460000000000001,12.247,7013,5658,2.412,0.0784,0.5682,0.11800000000000001,0.0867,3591,8069,6790,0.8138,0.1862,0.1918,9.462,0.0722,0.2048,0.008,0.8151999999999999,0.5672,豪2,1982/3200,5,0.3079,0.106,10256,0.16519999999999999,0.32020000000000004,0.1557,0.3004,0.1207,1489,746,743,94,6750,0.49406368346679236,0.3838837494112105,0.12210000000000001
381,傑2,877/1400,0.2241,0.19079999999999997,0.33840000000000003,0.0519,0.0909,0.6047,0.2627,0.26,12.584,7661,6193,2.575,0.09970000000000001,0.5264,0.1341,0.0874,3449,8650,7075,0.7642,0.23579999999999998,0.187,10.255,0.11789999999999999,0.2394,0.0173,0.7254,0.4471,傑3,1051/2000,4,0.332,0.11599999999999999,11123,0.18280000000000002,0.2701,0.1962,0.2877,0.08650000000000001,1717,1182,535,-46,3784,0.610727353859884,0.3372547523427042,0.0519
179,傑1,175/1200,0.2412,0.18969999999999998,0.3225,0.0209,0.0946,0.6391,0.6054999999999999,0.1539,12.099,5616,6151,2.687,0.14529999999999998,0.46909999999999996,0.13449999999999998,0.1018,2662,8009,6746,0.84,0.16,0.2545,8.828,0.1273,0.1628,0.0036,0.6690999999999999,0.4255,傑3,1900/2000,6,0.3488,0.1217,10639,0.1091,0.6077,0.19039999999999999,0.2708,0.09519999999999999,1355,1167,188,-293,1787,0.2993138059701493,0.67980679933665,0.0209
308,豪1,1765/2800,0.2488,0.1555,0.326,0.06860000000000001,0.1033,0.5452,0.3563,0.20600000000000002,12.437,6634,5553,2.380,0.0812,0.5563,0.1422,0.1094,3355,8146,7121,0.775,0.225,0.225,9.679,0.0891,0.22190000000000001,0.0063,0.6984,0.4266,豪2,2411/3200,8,0.3034,0.10189999999999999,10356,0.1884,0.35200000000000004,0.1536,0.32880000000000004,0.11109999999999999,1650,863,787,229,3107,0.46060209003215435,0.4708659163987139,0.06860000000000001
225,豪1,1550/2800,0.2194,0.11259999999999999,0.3373,0.07780000000000001,0.13140000000000002,0.3967,0.2484,0.2194,12.250,6424,6049,2.444,0.0711,0.5669,0.1317,0.1118,3116,7260,6811,0.8323,0.1677,0.2116,9.283,0.11779999999999999,0.2148,0.006,0.6467,0.3992,豪1,1751/2800,4,0.3345,0.1013,10294,0.2568,0.2218,0.1005,0.3139,0.1517,1410,681,729,67,2283,0.5669,0.35539088422971743,0.07780000000000001
199,傑2,871/1400,0.2183,0.1629,0.3068,0.106,0.09300000000000001,0.4767,0.3046,0.1865,12.345,6498,6025,2.643,0.11560000000000001,0.509,0.1576,0.1137,3110,8316,6169,0.8269,0.17309999999999998,0.2016,9.422,0.1008,0.2335,0.0078000000000000005,0.6744,0.43450000000000005,傑2,924/1400,4,0.3096,0.0946,10666,0.1805,0.3284,0.17559999999999998,0.32909999999999995,0.0791,1419,981,437,-194,2075,0.43485341273476874,0.4592022904260192,0.10599999999999998
778,傑3,797/2000,0.2193,0.1458,0.3507,0.14150000000000001,0.10289999999999999,0.47909999999999997,0.254,0.1975,12.424,6504,6002,2.523,0.1093,0.5388000000000001,0.1276,0.1058,3117,7808,7468,0.8684999999999999,0.1315,0.22899999999999998,9.351,0.11349999999999999,0.21899999999999997,0.012199999999999999,0.7372,0.475,傑3,1684/2000,5,0.3274,0.0999,10864,0.1729,0.2737,0.15710000000000002,0.3222,0.09880000000000001,1426,875,551,-83,7893,0.4852393980848154,0.3731819425444597,0.14150000000000001
240,傑3,482/2000,0.24239999999999998,0.1437,0.3148,0.018500000000000003,0.1082,0.3887,0.6273,0.1159,12.322,6085,6193,2.529,0.1,0.588,0.10210000000000001,0.08800000000000001,3935,8103,6734,0.919,0.081,0.2711,8.567,0.10210000000000001,0.1257,0.0034999999999999996,0.6972,0.4296,傑3,1253/2000,5,0.2994,0.1092,10521,0.0824,0.7045,0.16140000000000002,0.2707,0.10339999999999999,1475,890,586,-42,2450,0.2811435643564356,0.7005367574257425,0.018500000000000003
836,傑3,655/2000,0.2041,0.1618,0.3533,0.128,0.0992,0.516,0.3272,0.1771,12.687,6837,5771,2.590,0.0861,0.5409,0.12359999999999999,0.09300000000000001,3490,8394,7172,0.7781,0.22190000000000001,0.2086,9.943,0.105,0.20879999999999999,0.0106,0.8384999999999999,0.5774,傑3,1838/2000,5,0.355,0.1052,10444,0.1353,0.3309,0.1636,0.25129999999999997,0.1201,1396,934,462,-127,8499,0.46934536991670756,0.40286800587947086,0.128
